Type,Name,Damage,Min,Max Range,Era,Targets,Targeting,Mach (m/s),Internal?,internalName
Gun,PanzerIV,12,0,1.50,1940,GROUND,1200:3:90,1000,TRUE,PanzerIVAPCBC
Gun,StugIII,12,0,1.50,1940,GROUND,1200:3:90,1000,TRUE,StugIIIAPCBC
Gun,TigerII,12,0,1.50,1940,GROUND,1200:3:90,1000,TRUE,TigerII
Gun,T-44,12,0,1.50,1940,GROUND,1200:3:90,1000,TRUE,T-44APHE
Gun,T-34,12,0,1.50,1940,GROUND,1200:3:90,1000,TRUE,T-34APCR
Gun,IS2,12,0,1.50,1940,GROUND,1200:3:90,1000,TRUE,IS2APHE
Gun,T57,12,0,1.50,1940,GROUND,1200:3:90,1000,TRUE,T57AP-T
Radar,FuMo 61,100,0,20.00,1940,,,,FALSE,NAS_RA_FuMO61_KM
Gun,hispanoEnclosed,5,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,hispanoEnclosed
Gun,hispanoExposed,5,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,hispanoExposed
Gun,Mg151Long,5,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,Mg151Long
Gun,Mg151Short,5,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,Mg151Short
Gun,MG151WingPod,5,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,MG151WingPod
Gun,ShVAKWing,5,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,ShVAKWing
Gun,ShVAKBody,5,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,ShVAKBody
Gun,Bk75,5,0,1,1940,AERIAL : GROUND,800:0.01:12,1000,TRUE,Bk75
Gun,Mk108,5,0,1,1940,AERIAL : GROUND,800:0.01:12,1000,TRUE,Mk108
Gun,VickersShortPod,5,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,VickersShortPod
Gun,VYa23,5,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,VYa23
Gun,BallTurret,4,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,BallTurret
Gun,BerezinUBK,4,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,BerezinUBK
Gun,BredaSAFATLong,4,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,BredaSAFATLong
Gun,BredaSAFATPort,4,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,BredaSAFATPort
Gun,M2Blister,4,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,M2Blister
Gun,M2ExposedBarrel,4,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,M2ExposedBarrel
Gun,M2GunPort,4,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,M2GunPort
Gun,M2Pod,4,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,M2Pod
Gun,MG131,4,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,MG131
Gun,shKAS,4,0,1,1940,AERIAL,800:0.01:12,1000,TRUE,shKAS
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
,,,,,,,,,FALSE,
